true_class,sample_index,filename_vgg,outcome_vgg,pred_class_vgg,pred_prob_malignant_vgg,panel_path_vgg,outcome_dense,pred_class_dense,pred_prob_malignant_dense,panel_path_dense
benign,1,1.jpg,TN,benign,0.2307144403457641,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_01_panel.png,TN,benign,0.3541175425052643,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_01_panel.png
benign,2,10.jpg,TN,benign,0.0904810652136802,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_02_panel.png,TN,benign,0.0580800175666809,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_02_panel.png
benign,3,1003.jpg,TN,benign,0.1160020753741264,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_03_panel.png,TN,benign,0.0040211374871432,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_03_panel.png
benign,4,1006.jpg,TN,benign,0.0553218275308609,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_04_panel.png,TN,benign,0.0281036812812089,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_04_panel.png
benign,5,1013.jpg,TN,benign,0.0407240502536296,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_05_panel.png,TN,benign,0.0070665352977812,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_05_panel.png
benign,6,1018.jpg,TN,benign,0.3530240654945373,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_06_panel.png,TN,benign,0.0918181762099266,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_06_panel.png
benign,7,1019.jpg,FP,malignant,0.5869457125663757,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_07_panel.png,FP,malignant,0.8888415694236755,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/FP/benign/benign_07_panel.png
benign,8,1023.jpg,TN,benign,0.0540590211749076,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_08_panel.png,TN,benign,0.0283896066248416,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_08_panel.png
benign,9,1025.jpg,FP,malignant,0.7247017621994019,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_09_panel.png,TN,benign,0.491860955953598,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_09_panel.png
benign,10,1029.jpg,TN,benign,0.0659511908888816,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_10_panel.png,TN,benign,0.1250839680433273,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TN/benign/benign_10_panel.png
malignant,1,1.jpg,TP,malignant,0.9867306351661682,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TP/malignant/malignant_01_panel.png,TP,malignant,0.9509996175765992,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TP/malignant/malignant_01_panel.png
malignant,2,1003.jpg,TP,malignant,0.9134299159049988,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TP/malignant/malignant_02_panel.png,TP,malignant,0.8525483012199402,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TP/malignant/malignant_02_panel.png
malignant,3,1005.jpg,TP,malignant,0.9422994256019592,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TP/malignant/malignant_03_panel.png,TP,malignant,0.945485770702362,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TP/malignant/malignant_03_panel.png
malignant,4,1007.jpg,FN,benign,0.4385518133640289,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FN/malignant/malignant_04_panel.png,TP,malignant,0.5157653093338013,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TP/malignant/malignant_04_panel.png
malignant,5,1009.jpg,FN,benign,0.4708483219146728,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FN/malignant/malignant_05_panel.png,FN,benign,0.4960051774978637,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/FN/malignant/malignant_05_panel.png
malignant,6,1012.jpg,FN,benign,0.228746697306633,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FN/malignant/malignant_06_panel.png,FN,benign,0.2413664907217025,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/FN/malignant/malignant_06_panel.png
malignant,7,1019.jpg,FN,benign,0.2501112818717956,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FN/malignant/malignant_07_panel.png,FN,benign,0.2289520502090454,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/FN/malignant/malignant_07_panel.png
malignant,8,1022.jpg,TP,malignant,0.6799061894416809,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TP/malignant/malignant_08_panel.png,TP,malignant,0.8326870799064636,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TP/malignant/malignant_08_panel.png
malignant,9,1026.jpg,TP,malignant,0.9131740927696228,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TP/malignant/malignant_09_panel.png,FN,benign,0.0439767874777317,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/FN/malignant/malignant_09_panel.png
malignant,10,1027.jpg,TP,malignant,0.8887529969215393,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TP/malignant/malignant_10_panel.png,TP,malignant,0.918760359287262,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/densenet/TP/malignant/malignant_10_panel.png
